type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
hw_f1,,MW,TSA,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.696
hw_f1,,MWW,TSA,10.97,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.095,1.115,0.611,0.651,0.573
mb_ff8,,J2373,AX6,11.5,5,6.8,0.05,0.05,0.05,0.197,0.203,,,,,0.778
hw_ff8,,LW,LA,12.6,5.3,6.5,0.05,0.05,0.05,0.167,0.173,,,,,0.689
mb_ff8,,J2379,AX7,12.7,5.3,6.7,0.05,0.05,0.05,0.177,0.183,,,,,0.878
mb_ff8,,J2379,AX4,12.7,5.3,6.7,0.05,0.05,0.05,0.177,0.183,,,,,0.878
hw_ff8,,LWW,S2,12.6,7.1,8.3,0.05,0.05,0.05,0.223,0.228,,,,,0.789
mb_ff8,,J2373,AX2,11.5,5,6.8,0.05,0.05,0.05,0.197,0.203,,,,,0.54
hw_ff8,,LW,XLA,12.6,5.3,6.5,0.05,0.05,0.05,0.167,0.173,,,,,0.789
hw_ff8,,LW,S3,12.6,5.3,6.5,0.05,0.05,0.05,0.167,0.173,,,,,1.019
hw_ff8,,LWW,S3,12.6,7.1,8.3,0.05,0.05,0.05,0.223,0.228,,,,,0.889
mb_ff8,,J2379,AX4,12.7,5.3,6.7,0.05,0.05,0.05,0.177,0.183,,,,,0.628
mb_ff8,,J2379,AX6,12.7,5.3,6.7,0.05,0.05,0.05,0.177,0.183,,,,,0.778
hw_ff8,,LW,IA,12.6,5.3,6.5,0.05,0.05,0.05,0.167,0.173,,,,,0.589
mb_ff8,,M2633,AX3,11.7,5.4,6.9,0.05,0.05,0.05,0.222,0.228,,,,,0.628
mb_ff8,,M2631,AX7,13.3,5.9,7,0.05,0.05,0.05,0.173,0.179,,,,,0.878
hw_ff8,,XXLWW,DA,17.4,7.4,8.5,0.05,0.05,0.05,0.237,0.243,,,,,0.789
mb_ff8,,X4888,AX5,16.9,7.7,10,0.05,0.05,0.05,0.28,0.286,,,,,0.678
hw,,MINI (2277) ,SA,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,0.83,0.85,0.646,0.692,0.468
hw,,MINI (2277) ,S1,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,0.915,0.935,,,
hw,,MINI (2277) ,MA ,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,0.96,0.98,,,
hw,,MINI (2277) ,IA ,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,0.99,1.01,0.806,0.852,0.789
hw,,MINI (2277) ,RA,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,1.025,1.045,,,
hw,,MINI (2277) ,SRA,7.1,3.7,4.7,0.05,0.05,0.05,0.067,0.08,1.05,1.07,,,
